Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
293010,Senhor do Bonfim,69,1,3,81218,0.0849565367283114
293020,Sento Sé,28,1,2,41891,0.0668401327254064
293015,Serra do Ramalho,4,0,0,32991,0.0121245188081598
293030,Serra Dourada,0,0,0,18320,0.0
293040,Serra Preta,10,0,0,16036,0.0623596906959341
293050,Serrinha,17,0,0,83088,0.0204602349316387
293060,Serrolândia,3,0,0,13832,0.0216888374783112
293070,Simões Filho,140,1,3,136050,0.102903344358692
293075,Sítio do Mato,1,0,0,13437,0.00744213738185607
293076,Sítio do Quinto,0,0,0,11283,0.0
293077,Sobradinho,43,1,2,23713,0.181335132627673
293080,Souto Soares,4,0,0,17503,0.0228532251614009
293090,Tabocas do Brejo Velho,0,0,0,13057,0.0
293100,Tanhaçu,4,0,0,21315,0.0187661271405114
293105,Tanque Novo,1,0,0,17884,0.00559159024826661
293110,Tanquinho,7,0,0,8232,0.0850340136054422
293120,Taperoá,4,1,2,21462,0.0186375920231106
293130,Tapiramutá,9,0,0,17845,0.0504342953208182
293135,Teixeira de Freitas,316,1,4,161690,0.195435710309852
293140,Teodoro Sampaio,2,0,0,7936,0.0252016129032258
293150,Teofilândia,8,0,0,23378,0.0342202070322525
293160,Teolândia,2,0,0,15357,0.0130233769616462
293170,Terra Nova,10,0,0,13536,0.0738770685579196
293180,Tremedal,4,0,0,17700,0.0225988700564972
293190,Tucano,6,1,3,52540,0.0114198705748002
293200,Uauá,24,1,2,25773,0.0931207077173787
293210,Ubaíra,5,1,2,20800,0.0240384615384615
293220,Ubaitaba,9,0,0,20489,0.0439260090780419
293230,Ubatã,11,0,0,27527,0.0399607657935845
293240,Uibaí,5,0,0,14474,0.0345447008428907
293245,Umburanas,2,0,0,19522,0.0102448519618892
293250,Una,10,1,4,21331,0.0468801275139468
293260,Urandi,0,0,0,17356,0.0
293270,Uruçuca,26,1,3,21711,0.119754962922021
293280,Utinga,6,1,2,19780,0.0303336703741153
293290,Valença,27,1,4,98749,0.0273420490334079
293300,Valente,7,0,0,28743,0.0243537556970393
293305,Várzea da Roça,5,0,0,14662,0.034101759650798
293310,Várzea do Poço,0,0,0,9449,0.0
293315,Várzea Nova,11,0,0,13454,0.0817600713542441
293317,Varzedo,5,1,2,9375,0.0533333333333333
293320,Vera Cruz,24,1,4,43640,0.0549954170485793
293325,Vereda,5,0,0,6620,0.0755287009063444
293330,Vitória da Conquista,173,1,4,348718,0.0496102868220167
293340,Wagner,1,0,0,9753,0.0102532554085922
293345,Wanderley,1,0,0,12935,0.00773096250483185
293350,Wenceslau Guimarães,7,0,0,22365,0.0312989045383412
293360,Xique-Xique,31,0,0,48365,0.0640959371446294
